16080,"113/16/5850/64/7 GLOVES ASTRID",1.000
16081,"113/17/0330/74/6 GLOVES LARA",1.000
16082,"113/18/1245/09/6 VERA GLOVES",1.000
16083,"161/17/0422/84/7 GLOVES DRILL",1.000
16123,"113/17/1701/73/6 GLOVES LUCILLA",1.000
16125,"113/18/1517/45/6 SUNSET MITTEN GLOVES",1.000
16126,"113/18/1517/45/7 SUNSET MITTEN GLOVES",1.000
16127,"115/15/5170/09/7 GLOVES SPEEDLINER",2.000
16134,"125/17/0068/34/4 GLOVES NELLY",1.000
16139,"135/12/4750/09/5 GLOVES NARVICK",1.000
16140,"140/13/0521/34/8 GLOVES REYKJAVIK",1.000
16142,"140/17/1425/15/6 VIKING GLOVES",1.000
17105,"115/15/5170/09/7 GLOVES SPEEDLINER",1.000
17106,"115/15/5170/09/8 GLOVES SPEEDLINER",1.000
17827,"140/19/4500/01/6 GLOVES RUKKA MULTIFUNCTION",1.000
18270,"110/21/4991/09/7 GLOVES WILSON SKI MAN",11.000
18271,"110/21/4991/09/8 GLOVES WILSON SKI MAN",60.000
18272,"110/21/4991/09/9 GLOVES WILSON SKI MAN",28.000
18273,"110/21/4991/34/7 GLOVES WILSON SKI MAN",4.000
18274,"110/21/4991/34/8 GLOVES WILSON SKI MAN",42.000
18275,"110/21/4991/34/9 GLOVES WILSON SKI MAN",16.000
18292,"113/19/0210/40/5 GLOVES GISELE SKI LADY",1.000
18293,"113/19/0210/40/6 GLOVES GISELE SKI LADY",1.000
18294,"113/19/0210/72/6 GLOVES GISELE SKI LADY",1.000
18295,"113/19/0210/72/5 GLOVES GISELE SKI LADY",1.000
18331,"125/21/5534/08/2 GLOVES FROSTI KIDS",5.000
18332,"125/21/5534/08/3 GLOVES FROSTI KIDS",16.000
18333,"125/21/5534/08/4 GLOVES FROSTI KIDS",18.000
18334,"125/21/5534/15/1 GLOVES FROSTI KIDS",1.000
18335,"125/21/5534/15/2 GLOVES FROSTI KIDS",3.000
18336,"125/21/5534/15/3 GLOVES FROSTI KIDS",3.000
18337,"125/21/5534/15/4 GLOVES FROSTI KIDS",3.000
18338,"125/21/5534/34/2 GLOVES FROSTI KIDS",7.000
18339,"125/21/5534/34/3 GLOVES FROSTI KIDS",13.000
18340,"125/21/5534/34/4 GLOVES FROSTI KIDS",19.000
18341,"125/21/5534/43/1 GLOVES FROSTI KIDS",2.000
18342,"125/21/5534/43/2 GLOVES FROSTI KIDS",3.000
18343,"125/21/5534/43/3 GLOVES FROSTI KIDS",3.000
18344,"125/21/5534/43/4 GLOVES FROSTI KIDS",3.000
18352,"125/17/0067/72/2 GLOVES BARRY KIDS",7.000
18353,"125/17/0067/72/3 GLOVES BARRY KIDS",18.000
18354,"125/17/0067/10/4 GLOVES BARRY KIDS",20.000
18355,"125/17/0067/10/3 GLOVES BARRY KIDS",31.000
18356,"112/18/1641/08/8 GLOVES HURRICANE SKI MAN",3.000
18357,"112/18/1641/15/8 GLOVES HURRICANE SKI MAN",6.000
18358,"112/18/1641/15/9 GLOVES HURRICANE SKI MAN",1.000
18359,"112/18/1641/34/8 GLOVES HURRICANE SKI MAN",1.000
18360,"112/18/1641/74/8 GLOVES HURRICANE SKI MAN",6.000
18362,"110/19/0290/09/8 GLOVES LIVIO SKI MAN",6.000
18363,"110/19/0290/09/9 GLOVES LIVIO SKI MAN",1.000
18365,"110/20/2012/09/8 GLOVES DUSTER SKI MAN",1.000
18366,"110/20/2012/09/9 GLOVES DUSTER SKI MAN",2.000
18367,"110/21/4991/09/7 GLOVES WILSON SKI MAN",2.000
18369,"110/21/4991/09/9 GLOVES WILSON SKI MAN",1.000
18370,"110/21/4991/34/7 GLOVES WILSON SKI MAN",1.000
18371,"110/21/4991/34/8 GLOVES WILSON SKI MAN",1.000
18372,"110/21/4991/34/10 GLOVES WILSON SKI MAN",1.000
18373,"110/21/4991/34/9 GLOVES WILSON SKI MAN",1.000
18374,"110/16/1134/08/6 GLOVES TORIN SKI MAN",1.000
18375,"110/16/1134/08/7 GLOVES TORIN SKI MAN",1.000
18376,"110/16/1134/08/8 GLOVES TORIN SKI MAN",1.000
18377,"110/16/1134/08/9 GLOVES TORIN SKI MAN",1.000
18378,"110/16/1134/09/6 GLOVES TORIN SKI MAN",1.000
18379,"110/16/1134/09/7 GLOVES TORIN SKI MAN",1.000
18380,"110/16/1134/19/6 GLOVES TORIN SKI MAN",1.000
18381,"110/16/1134/19/7 GLOVES TORIN SKI MAN",1.000
18382,"110/16/1134/19/8 GLOVES TORIN SKI MAN",2.000
18383,"110/16/1134/19/9 GLOVES TORIN SKI MAN",1.000
18384,"110/16/1134/19/10 GLOVES TORIN SKI MAN",1.000
18385,"110/16/1134/08/10 GLOVES TORIN SKI MAN",1.000
18386,"113/19/0210/09/5 GLOVES GISELE SKI LADY",1.000
18387,"113/19/0210/09/6 GLOVES GISELE SKI LADY",1.000
18388,"113/19/0210/09/7 GLOVES GISELE SKI LADY",1.000
18389,"113/20/0620/09/8 GLOVES ATRIA SKI LADY",1.000
18390,"113/20/0620/48/6 GLOVES ATRIA SKI LADY",1.000
18391,"113/20/0620/48/7 GLOVES ATRIA SKI LADY",1.000
18392,"113/20/0620/09/6 GLOVES ATRIA SKI LADY",1.000
18393,"113/20/0620/48/5 GLOVES ATRIA SKI LADY",1.000
18394,"113/20/0620/48/8 GLOVES ATRIA SKI LADY",1.000
18395,"113/20/9463/09/6 GLOVES ELECTRA SKI LADY",2.000
18396,"113/20/9463/09/7 GLOVES ELECTRA SKI LADY",1.000
18398,"113/20/9463/46/5 GLOVES ELECTRA SKI LADY",1.000
18399,"113/20/9463/46/6 GLOVES ELECTRA SKI LADY",1.000
18400,"113/20/9463/46/7 GLOVES ELECTRA SKI LADY",2.000
18401,"113/20/2289/09/5 GLOVES MIRABEL MITTEN SKI LADY",1.000
18403,"113/20/2289/09/7 GLOVES MIRABEL MITTEN SKI LADY",1.000
18404,"113/20/2289/09/8 GLOVES MIRABEL MITTEN SKI LADY",1.000
18405,"113/20/2289/40/5 GLOVES MIRABEL MITTEN SKI LADY",1.000
18406,"113/20/2289/40/6 GLOVES MIRABEL MITTEN SKI LADY",1.000
18407,"113/20/2289/40/7 GLOVES MIRABEL MITTEN SKI LADY",1.000
18408,"113/20/2289/40/8 GLOVES MIRABEL MITTEN SKI LADY",1.000
18409,"113/20/5656/09/5 GLOVES MIRABEL SKI LADY",1.000
18410,"113/20/5656/09/6 GLOVES MIRABEL SKI LADY",1.000
18411,"120/20/6312/15/4 GLOVES MAGICA KIDS",1.000
18412,"120/20/6312/15/5 GLOVES MAGICA KIDS",1.000
18413,"120/20/6312/15/6 GLOVES MAGICA KIDS",1.000
18414,"120/20/6312/46/4 GLOVES MAGICA KIDS",1.000
18415,"120/20/6312/46/5 GLOVES MAGICA KIDS",1.000
18416,"120/20/6312/46/6 GLOVES MAGICA KIDS",1.000
18417,"120/20/6312/53/4 GLOVES MAGICA KIDS",1.000
18418,"120/20/6312/53/5 GLOVES MAGICA KIDS",1.000
18419,"120/20/6312/53/6 GLOVES MAGICA KIDS",1.000
18420,"120/20/6312/70/4 GLOVES MAGICA KIDS",1.000
18421,"120/20/6312/70/5 GLOVES MAGICA KIDS",1.000
18422,"120/20/6312/70/6 GLOVES MAGICA KIDS",1.000
18423,"125/21/5534/08/2 GLOVES FROSTI KIDS",1.000
18424,"125/21/5534/08/3 GLOVES FROSTI KIDS",1.000
18425,"125/21/5534/08/4 GLOVES FROSTI KIDS",1.000
18426,"125/21/5534/15/1 GLOVES FROSTI KIDS",1.000
18427,"125/21/5534/15/2 GLOVES FROSTI KIDS",1.000
18428,"125/21/5534/15/3 GLOVES FROSTI KIDS",1.000
18429,"125/21/5534/15/4 GLOVES FROSTI KIDS",1.000
18430,"125/21/5534/34/2 GLOVES FROSTI KIDS",1.000
18431,"125/21/5534/34/3 GLOVES FROSTI KIDS",1.000
18432,"125/21/5534/34/4 GLOVES FROSTI KIDS",1.000
18434,"125/21/5534/43/2 GLOVES FROSTI KIDS",1.000
18435,"125/21/5534/43/3 GLOVES FROSTI KIDS",1.000
18436,"125/21/5534/43/4 GLOVES FROSTI KIDS",1.000
18437,"125/21/5534/34/1 GLOVES FROSTI KIDS",1.000
18438,"125/17/0067/10/1 GLOVES BARRY KIDS",1.000
18439,"125/17/0067/10/2 GLOVES BARRY KIDS",1.000
18440,"125/17/0067/43/1 GLOVES BARRY KIDS",1.000
18441,"125/17/0067/43/2 GLOVES BARRY KIDS",1.000
18442,"125/17/0067/72/1 GLOVES BARRY KIDS",2.000
18443,"125/17/0067/72/4 GLOVES BARRY KIDS",1.000
18444,"125/17/0067/72/2 GLOVES BARRY KIDS",1.000
18445,"125/17/0067/72/3 GLOVES BARRY KIDS",1.000
18446,"125/17/0067/10/4 GLOVES BARRY KIDS",1.000
18447,"125/17/0067/10/3 GLOVES BARRY KIDS",1.000
18508,"110/16/1134/08/10 GLOVES TORIN SKI MAN",1.000
18509,"110/16/1134/08/6 GLOVES TORIN SKI MAN",1.000
18513,"110/16/1134/09/6 GLOVES TORIN SKI MAN",2.000
18514,"110/16/1134/09/7 GLOVES TORIN SKI MAN",1.000
18515,"110/16/1134/19/10 GLOVES TORIN SKI MAN",2.000
18516,"110/16/1134/19/7 GLOVES TORIN SKI MAN",1.000
18518,"110/16/1134/19/9 GLOVES TORIN SKI MAN",1.000
18519,"110/19/0290/09/7 GLOVES LIVIO SKI MAN",1.000
18520,"110/19/0290/09/8 GLOVES LIVIO SKI MAN",2.000
18521,"110/19/0290/09/9 GLOVES LIVIO SKI MAN",1.000
18523,"110/20/2012/09/8 GLOVES DUSTER SKI MAN",1.000
18524,"110/20/2012/09/9 GLOVES DUSTER SKI MAN",1.000
18525,"110/21/4991/09/7 GLOVES WILSON SKI MAN",1.000
18526,"110/21/4991/09/8 GLOVES WILSON SKI MAN",1.000
18527,"110/21/4991/09/9 GLOVES WILSON SKI MAN",2.000
18528,"110/21/4991/34/10 GLOVES WILSON SKI MAN",1.000
18532,"112/18/1641/08/8 GLOVES HURRICANE SKI MAN",2.000
18533,"112/18/1641/15/8 GLOVES HURRICANE SKI MAN",1.000
18534,"112/18/1641/15/9 GLOVES HURRICANE SKI MAN",2.000
18535,"112/18/1641/34/8 GLOVES HURRICANE SKI MAN",1.000
18536,"112/18/1641/74/8 GLOVES HURRICANE SKI MAN",2.000
18537,"112/18/1641/74/9 GLOVES HURRICANE SKI MAN",1.000
18539,"113/19/0210/09/6 GLOVES GISELE SKI LADY",0.000
18540,"113/19/0210/09/7 GLOVES GISELE SKI LADY",1.000
18541,"113/19/0210/40/5 GLOVES GISELE SKI LADY",1.000
18542,"113/19/0210/40/6 GLOVES GISELE SKI LADY",1.000
18543,"113/19/0210/72/5 GLOVES GISELE SKI LADY",2.000
18544,"113/19/0210/72/6 GLOVES GISELE SKI LADY",1.000
18545,"113/19/0210/72/7 GLOVES GISELE SKI LADY",0.000
18546,"113/20/0620/09/6 GLOVES ATRIA SKI LADY",1.000
18547,"113/20/0620/09/8 GLOVES ATRIA SKI LADY",1.000
18548,"113/20/0620/48/5 GLOVES ATRIA SKI LADY",1.000
18549,"113/20/0620/48/6 GLOVES ATRIA SKI LADY",1.000
18551,"113/20/0620/48/8 GLOVES ATRIA SKI LADY",1.000
18552,"113/20/2289/09/5 GLOVES MIRABEL MITTEN SKI LADY",1.000
18553,"113/20/2289/09/6 GLOVES MIRABEL MITTEN SKI LADY",1.000
18554,"113/20/2289/09/7 GLOVES MIRABEL MITTEN SKI LADY",1.000
18555,"113/20/2289/09/8 GLOVES MIRABEL MITTEN SKI LADY",1.000
18556,"113/20/2289/40/5 GLOVES MIRABEL MITTEN SKI LADY",1.000
18557,"113/20/2289/40/6 GLOVES MIRABEL MITTEN SKI LADY",1.000
18558,"113/20/2289/40/7 GLOVES MIRABEL MITTEN SKI LADY",1.000
18559,"113/20/2289/40/8 GLOVES MIRABEL MITTEN SKI LADY",1.000
18561,"113/20/5656/09/6 GLOVES MIRABEL SKI LADY",1.000
18562,"113/20/9463/09/5 GLOVES ELECTRA SKI LADY",1.000
18563,"113/20/9463/09/6 GLOVES ELECTRA SKI LADY",2.000
18564,"113/20/9463/09/7 GLOVES ELECTRA SKI LADY",1.000
18566,"113/20/9463/46/6 GLOVES ELECTRA SKI LADY",1.000
18567,"120/20/6312/15/4 GLOVES MAGICA KIDS",1.000
18568,"120/20/6312/15/5 GLOVES MAGICA KIDS",1.000
18569,"120/20/6312/15/6 GLOVES MAGICA KIDS",1.000
18570,"120/20/6312/46/4 GLOVES MAGICA KIDS",1.000
18571,"120/20/6312/46/5 GLOVES MAGICA KIDS",0.000
18572,"120/20/6312/46/6 GLOVES MAGICA KIDS",1.000
18573,"120/20/6312/53/4 GLOVES MAGICA KIDS",1.000
18575,"120/20/6312/53/6 GLOVES MAGICA KIDS",0.000
18576,"120/20/6312/70/4 GLOVES MAGICA KIDS",1.000
18577,"120/20/6312/70/5 GLOVES MAGICA KIDS",0.000
18578,"120/20/6312/70/6 GLOVES MAGICA KIDS",1.000
18579,"125/17/0067/10/1 GLOVES BARRY KIDS",1.000
18580,"125/17/0067/10/2 GLOVES BARRY KIDS",2.000
18582,"125/17/0067/10/4 GLOVES BARRY KIDS",1.000
18585,"125/17/0067/72/1 GLOVES BARRY KIDS",1.000
18586,"125/17/0067/72/2 GLOVES BARRY KIDS",1.000
18587,"125/17/0067/72/3 GLOVES BARRY KIDS",1.000
18588,"125/17/0067/72/4 GLOVES BARRY KIDS",2.000
18589,"125/21/5534/08/2 GLOVES FROSTI KIDS",1.000
18590,"125/21/5534/08/3 GLOVES FROSTI KIDS",1.000
18591,"125/21/5534/08/4 GLOVES FROSTI KIDS",1.000
18592,"125/21/5534/15/1 GLOVES FROSTI KIDS",1.000
18593,"125/21/5534/15/2 GLOVES FROSTI KIDS",1.000
18594,"125/21/5534/15/3 GLOVES FROSTI KIDS",1.000
18595,"125/21/5534/15/4 GLOVES FROSTI KIDS",1.000
18596,"125/21/5534/34/1 GLOVES FROSTI KIDS",1.000
18597,"125/21/5534/34/2 GLOVES FROSTI KIDS",1.000
18600,"125/21/5534/43/1 GLOVES FROSTI KIDS",1.000
18601,"125/21/5534/43/2 GLOVES FROSTI KIDS",1.000
18602,"125/21/5534/43/3 GLOVES FROSTI KIDS",1.000
18845,"110/20/2012/09/7 GLOVES DUSTER SKI MAN",2.000
18846,"110/20/2012/09/8 GLOVES DUSTER SKI MAN",80.000
18847,"110/20/2012/09/9 GLOVES DUSTER SKI MAN",1.000
18848,"110/21/4991/09/8 GLOVES WILSON SKI MAN",2.000
18849,"110/21/4991/09/9 GLOVES WILSON SKI MAN",2.000
